filename,notes,authors,licenses,urls
body/bodies/male/walk.png,see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised) ,"bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike) ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases "
body/bodies/female/walk.png,see details at https://opengameart.org/content/lpc-character-bases ,"Benjamin K. Smith (BenCreating),bluecarrot16,TheraHedwig,Evert,MuffinElZangano,Durrani,Pierre Vigier (pvigier),ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike) ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-7-womens-shirts,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-revised-character-basics,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle "
head/heads/human/female/walk.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16 ","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike) ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/,https://opengameart.org/content/lpc-character-bases "
head/heads/human/male/walk.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16 ","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike) ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases "
head/heads/frankenstein/adult/walk.png,"original head by Redshrike, frankenstein's monster version by bluecarrot16 ","Stephen Challener (Redshrike),bluecarrot16 ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-folk "
head/heads/alien/adult/walk.png,"based on lizard originally by Nila122, modified by BenCreating, further edited by bluecarrot16. Nila122 gave blanket permission to MedicineStorm to use Nila122's LPC assets under OGA-BY 3.0 (where original or derived only from other works under OGA-BY). ","bluecarrot16,Benjamin K. Smith (BenCreating),Nila122 ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-character-bases "
hair/afro/adult/walk.png, ,bluecarrot16 ,CC0 ,https://opengameart.org/content/lpc-hair 
hair/dreadlocks_short/adult/walk.png,Original by bluecarrot16. Animated by ElizaWy. ,"ElizaWy,bluecarrot16 ",CC0 ,"https://opengameart.org/content/lpc-hair,https://github.com/ElizaWy/LPC/blob/main/Characters/Hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more "
hair/buzzcut/adult/walk.png, ,ElizaWy ,OGA-BY 3.0 ,https://opengameart.org/content/lpc-hair 
hair/curtains/adult/walk.png,(star) ,"Mandi Paugh,bluecarrot16 ","GPL 2.0,GPL 3.0,CC-BY 3.0 ","https://opengameart.org/content/star-overland,https://opengameart.org/content/lpc-hair "
hair/pixie/adult/walk.png, ,"JaidynReiman,Manuel Riecke (MrBeast) ","CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-expanded-hair "
hair/bob/adult/walk.png,Original by bluecarrot16. Edited and animated by ElizaWy. ,"ElizaWy,bluecarrot16 ",CC0 ,"https://opengameart.org/content/lpc-hair,https://github.com/ElizaWy/LPC/blob/main/Characters/Hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more "
hair/long_tied/adult/fg/walk.png, ,"JaidynReiman,thecilekli,bluecarrot16 ",CC0 ,"https://opengameart.org/content/lpc-long-tied-hair-with-12-colors,https://opengameart.org/content/lpc-hair,https://opengameart.org/content/lpc-expanded-hair "
hair/long_tied/adult/bg/walk.png, ,"JaidynReiman,thecilekli,bluecarrot16 ",CC0 ,"https://opengameart.org/content/lpc-long-tied-hair-with-12-colors,https://opengameart.org/content/lpc-hair,https://opengameart.org/content/lpc-expanded-hair "
hair/ponytail2/adult/fg/walk.png, ,"JaidynReiman,Manuel Riecke (MrBeast),Joe White ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/ponytail-and-plain-hairstyles,https://opengameart.org/content/lpc-expanded-hair "
hair/ponytail2/adult/bg/walk.png, ,"JaidynReiman,Manuel Riecke (MrBeast),Joe White ","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0 ","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/ponytail-and-plain-hairstyles,https://opengameart.org/content/lpc-expanded-hair "
